Titre du bulletin (ANSSI),Lien du bulletin (ANSSI),Type de bulletin,Identifiant CVE,Score CVSS,Base severity,Score Epss,Type CWE,Description CWE,Editeur,Produit,Versions affectées 
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50088,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.2']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,,,,,,,,,,
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50098,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.14']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50100,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.10']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50101,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.7']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50102,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['6.4']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50103,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.10']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50108,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50115,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.2']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50116,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.10']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50117,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.2']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50121,7.8,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.2']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50124,7.8,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.0']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50125,7.8,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.15']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50127,7.8,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.2']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50128,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.14']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50130,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.4']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50131,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.1']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50134,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.13']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50135,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.6']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50136,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.6']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50138,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.8']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50139,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.3']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50141,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.14']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50145,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.19']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50146,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.12']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50147,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.1']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50148,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.12']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50150,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.19']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50153,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.11']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50154,7.8,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.2']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50155,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.8']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50156,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.14']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50157,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['6.6']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50158,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.6']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50159,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.3']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50160,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.15']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50166,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.5']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50167,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.2']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50169,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.4']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50171,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.16']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50172,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.5']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50175,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.4']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50176,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.10']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50177,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50182,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.14']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50183,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50187,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.17']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50194,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.10']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50195,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.39']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50196,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.16']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50198,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.5']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50200,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['6.1']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50201,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.8']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50205,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.20']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50209,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.7']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50210,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,"['5.10.228', '5.15.169', '6.1.114', '6.6.58', '6.11.5']"
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50216,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['6.3']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50221,7.8,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.6']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50224,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.4']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50225,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['6.3']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50231,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.4']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50240,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.2']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50246,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.15']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50248,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.15']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50274,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['6.7']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50275,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.13']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50289,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['2.6.12']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-50298,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.1']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53045,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['6.7']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53048,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['6.7']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53051,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53056,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['5.17']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53068,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.6']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53074,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['6.9']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53076,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.4']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53079,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.4']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53085,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.4']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53094,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53095,7.8,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['4.2']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53096,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.1']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53100,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53101,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53104,7.8,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['2.6.26']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53106,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.19']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53108,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53110,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.19']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53112,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.25']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53114,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53121,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.1']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53138,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.4']
Multiples vulnérabilités dans le noyau Linux de SUSE (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1102/,avis,CVE-2024-53142,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.12']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2010-1205,Non disponible,Non disponible,0.832260000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2014-1544,Non disponible,Non disponible,0.113920000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2014-1568,Non disponible,Non disponible,0.029510000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2015-7182,Non disponible,Non disponible,0.015870000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2015-7181,Non disponible,Non disponible,0.066830000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2015-7575,Non disponible,Non disponible,0.002600000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2016-1938,Non disponible,Non disponible,0.003500000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2017-5461,Non disponible,Non disponible,0.029750000,Non disponible,Out-of-bounds write in Base64 encoding in NSS,Mozilla,Firefox,['unspecified']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2018-12384,Non disponible,Non disponible,0.042840000,Non disponible,Use of Insufficiently Random Values,NSS,Network Security Services (NSS),['All versions prior to NSS 3.39']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2019-7317,Non disponible,Non disponible,0.002960000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2019-11729,Non disponible,Non disponible,0.015660000,Non disponible,Empty or malformed p256-ECDH public keys may trigger a segmentation fault,Mozilla,Thunderbird,['unspecified']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2019-11727,Non disponible,Non disponible,0.006460000,Non disponible,PKCS#1 v1.5 signatures can be used for TLS 1.3,Mozilla,Firefox,['unspecified']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2019-11719,Non disponible,Non disponible,0.006370000,Non disponible,Out-of-bounds read when importing curve25519 private key,Mozilla,Thunderbird,['unspecified']
Multiples vulnérabilités dans les produits IBM (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1103/,avis,CVE-2018-12404,Non disponible,Non disponible,0.023300000,Non disponible,Cryptographic Issues,Mozilla,Network Security Services (NSS),['All versions prior to NSS 3.41']
